qa_id,category,intent_full,sentiment,question,ref,expected_tools,q_len,provenance
400016,USAGE,USAGE_스크립트형식_질문,m,원어 대본이 PDF로만 왔는데 그대로 열려요? 그리고 이거 외부 서버로 올라가진 않죠?,U-03;U-08,,48,합성
400017,USAGE,USAGE_스크립트줄누락_질문,m,대조할 때 소리를 못 찾은 대본 줄은 결과에서 빠지는 거예요?,U-08,,34,합성
400018,USAGE,USAGE_캡션확인표시_불만,n,"화면 캡션을 읽었더니 얹힌 게 전부 갈색으로 떠서 다 확인하라는 것 같은데, 좀 너무하지 않나요?",U-09,,54,합성
400019,USAGE,USAGE_하드섭초안_질문,m,자막 트랙 없고 화면에 자막이 박혀 있는 영상인데 그걸로 srt 초안 만들 수 있나요? 시간은 얼마나 걸려요?,U-09,,61,합성
400020,USAGE,USAGE_번역반복멈춤_질문,m,"번역 회차를 몇 번 돌릴지 모르겠어서요, 결과가 더 안 바뀌면 알아서 멈추게 할 수 있어요?",U-10,,51,합성
400021,USAGE,USAGE_감수회차_질문,m,번역 감수 회차를 5로 두면 무조건 다섯 번 도는 건가요?,U-10,,32,합성
400022,USAGE,USAGE_한국어교정경로_질문,m,한국어 교정은 어디서 눌러요? 교정기를 따로 지정해야 하나요?,U-11;U-14,,34,합성
400023,USAGE,USAGE_교정기의존성_질문,m,한국어 교정기를 못 찾았다고 뜨면 규정 검사 전체가 안 돌아가요?,U-11,,36,합성
400024,USAGE,USAGE_중간결과끄기_불만,n,작업할 때마다 .work 폴더가 잔뜩 생겨서 지저분해 죽겠어요. 이거 안 남기게 못 해요?,U-12,,50,합성
400025,USAGE,USAGE_manifest_질문,m,ep01.work 안에 manifest.json은 뭐가 적혀 있는 파일이에요?,U-12,,43,합성
400026,USAGE,USAGE_용어표캐릭터문서_질문,m,[용어표]로 만드는 거랑 [캐릭터 문서]로 만드는 거랑 둘 다 KNP 시트에 넣는 건가요?,U-13,,50,합성
400027,USAGE,USAGE_북마크모으기_질문,m,SubtitleEdit에서 달아 둔 첨삭 북마크들 한꺼번에 모으는 기능 있죠? 어떻게 써요,U-13,,50,합성
400028,USAGE,USAGE_쿠팡번역bat_질문,m,쿠팡 한국어 번역 파일 자동으로 고치고 싶은데 tools에서 어느 bat 써요?,U-14,,44,합성
400029,USAGE,USAGE_새발주처기준_질문,m,우리 회사 기준으로 검사하고 싶은데 발주처를 새로 만들 수 있어요?,U-15,,37,합성
400030,USAGE,USAGE_겹침처리옵션_불만,n,화면 글자랑 대사 자막 겹치는 거 잡아줄 줄 알았는데 위치 검사가 아예 안 돌았어요. 기본값도 없다니 뭘 줘야 돼요?,U-16,,65,합성
400031,QC_EXPLAIN,QC_EXPLAIN_줄수초과_질문,m,줄 수 초과가 떴어요. 두 줄로 줄이려면 어떻게 손봐야 해요?,Q-02;GR-4;KO-I.11,,34,합성
400032,QC_EXPLAIN,QC_EXPLAIN_통화환산_질문,m,미구현 검사 목록에 통화 환산 검사가 있던데 이건 뭘 보려는 검사예요?,Q-03;KO-I.12,,39,합성
400033,QC_EXPLAIN,QC_EXPLAIN_글리프_질문,m,글리프 목록 밖 글자라는 경고는 어떤 글자를 문제 삼는 거예요?,Q-04;GR-2,,35,합성
400034,QC_EXPLAIN,QC_EXPLAIN_위치충돌_질문,m,"화면 글자와 위치 충돌이 [자동]으로 나왔는데, 고치면 자막을 어디로 옮긴다는 거예요?",Q-06;GR-5;U-16,,48,합성
400035,QC_EXPLAIN,QC_EXPLAIN_읽기속도_불만,n,받은 TC에 번역만 하는 중인데 읽기 속도 초과가 계속 떠요. 타임코드도 못 건드리는데 이걸 어쩌라는 거예요,Q-08;KO-I.15;U-07,,60,합성
400036,QC_EXPLAIN,QC_EXPLAIN_말줄임표_질문,m,점 세 개 말줄임표 경고가 떴는데 점 세 개 말고 뭘 써야 돼요?,Q-10;KO-I.4,,36,합성
400037,QC_EXPLAIN,QC_EXPLAIN_기울임꼴_질문,m,원문 영어 자막에 이탤릭이 있어서 그대로 뒀더니 기울임꼴 경고가 잡혔네요. 한국어는 기울임 안 써요?,Q-11;KO-I.10,,56,합성
400038,QC_EXPLAIN,QC_EXPLAIN_화자표시_질문,m,두 사람 대화 자막에 2인 화자 표시 형식 경고가 떴어요. 하이픈 붙였는데 뭐가 틀린 거죠?,Q-12;KO-I.6,,51,합성
400039,QC_EXPLAIN,QC_EXPLAIN_따옴표_질문,m,따옴표 역할 뒤바뀜은 다른 작품 땐 안 뜨더니 이번 작업에서만 떠요. 조건이 따로 있어요?,Q-13;KO-I.14;U-16,,50,합성
400040,QC_EXPLAIN,QC_EXPLAIN_FN합침_질문,m,"화면 글자 자막과 대사 합침 경고 뜬 자막이 표지판 번역이랑 대사가 한 자막에 같이 들어간 건데요, 둘이 시간이 겹치면 어떻게 나눠요?",Q-14;KO-I.8,,75,합성
400041,QC_EXPLAIN,QC_EXPLAIN_단위_질문,m,대사에 '5마일'이라고 번역했는데 non_metric_unit이 안 잡혔어요. 킬로미터로 안 바꿔도 되는 거예요?,Q-15;KO-I.12,,63,합성
400042,QC_EXPLAIN,QC_EXPLAIN_약어_질문,m,약어 마침표 경고 떴는데 F.B.I. 이런 거 말하는 건가요?,Q-16;KO-I.1,,34,합성
400043,QC_EXPLAIN,QC_EXPLAIN_반복번역_질문,m,반복 번역 항목이 미구현이라고 나오는데 원래 무슨 규정 보는 검사예요?,Q-17;Q-00;KO-I.16,,39,합성
400044,QC_EXPLAIN,QC_EXPLAIN_가사표기_질문,m,노래 장면 있는 회차라 노래 가사 표기 검사 확인하려는데 미구현이라네요. 가사 줄은 뭘 지켜야 하는데요?,Q-18;KO-I.17,,58,합성
400045,QC_EXPLAIN,QC_EXPLAIN_줄바꿈위치_질문,m,한국어 번역본에선 줄바꿈 위치 경고가 뜨는데 영어 파일 검사에선 한 번도 안 나와요. 왜 그래요?,Q-19;KO-I.11,,54,합성
400046,QC_EXPLAIN,QC_EXPLAIN_존반_질문,m,존대·반말 어긋남 경고가 떴는데 이거 제대로 보려면 뭘 같이 넣어야 돼요?,Q-20;KO-I.19;U-10,,41,합성
400047,QC_EXPLAIN,QC_EXPLAIN_문장부호_질문,m,쓰지 않는 문장부호 경고 걸린 줄 보니까 대본에 있던 '민수:' 같은 게 들어가 있네요. 이게 금지 문장부호예요?,Q-22;KO-I.13,,63,합성
400048,QC_EXPLAIN,QC_EXPLAIN_글자수_불만,n,SDH 한 줄 글자 수 초과 진짜 너무 많이 떠요. 대사는 짧은데 [남자] 같은 화자 표시까지 세는 거예요?,Q-23;KO-II.2;KO-II.10,,60,합성
400049,QC_EXPLAIN,QC_EXPLAIN_기준차이_질문,m,같은 대사인데 번역본에선 읽기 속도 초과가 뜨고 SDH본에선 안 떠요. 기준이 다른 건가요?,Q-24;Q-08;KO-II.3;KO-I.15,,51,합성
400050,QC_EXPLAIN,QC_EXPLAIN_말더듬_질문,m,말더듬 표시 경고 떴어요. 인물이 긴장해서 더듬는 장면인데 그럼 뭐라고 써요?,Q-27;KO-II.9,,43,합성
400051,QC_EXPLAIN,QC_EXPLAIN_음표공백_질문,m,음표 띄어쓰기 경고는 ♪ 뒤에 한 칸 띄우라는 거죠?,Q-28;KO-II.7,,29,합성
400052,QC_EXPLAIN,QC_EXPLAIN_음표짝_질문,m,가사 자막에 음표 짝 경고가 떴는데 무슨 뜻이에요?,Q-29;KO-II.7,,28,합성
400053,QC_EXPLAIN,QC_EXPLAIN_삐처리_질문,m,"욕 삐 처리한 자막 있어서 삐 처리 별표 검사 봤더니 미구현이던데, 별표는 몇 개 넣는 게 규정이에요?",Q-30;KO-II.10,,57,합성
400054,QC_EXPLAIN,QC_EXPLAIN_문장이어짐_질문,m,2인 화자 문장 이어짐 검사가 미구현이라고 뜨네요. 이건 어떤 경우를 보려는 거예요?,Q-32;KO-II.5,,47,합성
400055,QC_EXPLAIN,QC_EXPLAIN_화자일관성_불만,n,화자 표시 일관성이 수십 개 떴어요. 극 중에서 [형사]였다가 이름 밝혀진 뒤로 이름 쓴 건데 이것도 다 틀렸다는 거예요?,Q-33;KO-II.8,,68,합성
400056,QC_EXPLAIN,QC_EXPLAIN_SDH줄바꿈_질문,m,SDH 리포트에 위가 무거운 줄바꿈이 떴는데 번역 쪽에서 뜨는 거랑 같은 검사예요?,Q-21;Q-22;KO-I.11,,46,합성
400057,QC_EXPLAIN,QC_EXPLAIN_프레임간격_질문,m,자막 사이 간격 검사는 통과했는데 자막 사이가 5프레임쯤 떠 있는 데가 있어요. 이건 그냥 둬도 돼요?,Q-05;TM-5,,57,합성
400058,QC_EXPLAIN,QC_EXPLAIN_노출시간_불만,n,노출 시간이 너무 짧다고 떴는데 바로 뒤 자막이 붙어 있어서 아웃점을 못 늘려요. 대체 어떻게 하라는 건지,Q-01;TM-6,,59,합성
400059,QC_EXPLAIN,QC_EXPLAIN_자동교정_불만,n,한 줄 글자 수 초과가 수백 개인데 줄만 나누면 되는 걸 왜 자막 QA가 안 해 줘요? 이걸 다 손으로 하라고요?,Q-07;KO-I.11,,63,합성
400060,QC_EXPLAIN,QC_EXPLAIN_두문장_질문,m,줄 끝 마침표 경고 고치려는데 한 자막 안에 문장이 두 개면 가운데는 뭘로 끊어요?,Q-09;KO-I.13,,46,합성
400061,STYLE_RULE,STYLE_RULE_약어표기_질문,m,"번역 자막에 FBI, DNA 같은 영어 약어 나오면 F.B.I.처럼 글자마다 점 찍어 줘야 하나요?",KO-I.1,,55,합성
400062,STYLE_RULE,STYLE_RULE_문장이어짐_말줄임표_질문,m,한 문장이 길어서 자막 두 개로 나눠지면 앞 자막 끝에 … 붙이고 뒤 자막 앞에도 붙이는 거 맞죠?,KO-I.4,,55,합성
400063,STYLE_RULE,STYLE_RULE_2인화자_하이픈_질문,m,"번역 자막에서 두 사람 대사를 한 자막에 넣을 때 하이픈 뒤에 한 칸 띄우나요, 붙이나요?",KO-I.6,,50,합성
400064,STYLE_RULE,STYLE_RULE_FN_대사혼합_질문,m,화면에 뜬 문자 메시지 번역이랑 그 순간 나오는 대사를 한 자막에 위아래로 같이 넣어도 되나요?,KO-I.8,,53,합성
400065,STYLE_RULE,STYLE_RULE_물음표느낌표_질문,m,깜짝 놀라서 되묻는 대사에 '뭐?!'처럼 물음표랑 느낌표를 같이 붙여도 되나요?,KO-I.13,,44,합성
400066,STYLE_RULE,STYLE_RULE_반복대사_질문,m,"인물이 '안 돼, 안 돼, 안 돼, 안 돼' 하고 네 번 연달아 외치는데 자막에 다 적어야 해요?",KO-I.16,,54,합성
400067,STYLE_RULE,STYLE_RULE_오프닝곡_질문,m,성인 대상 미드인데 매 회 오프닝 주제가에 가사가 있어요. 번역 자막으로 가사도 달아야 하나요?,KO-I.17,,53,합성
400068,STYLE_RULE,STYLE_RULE_욕설수위_불만,n,원문 욕이 너무 세서 좀 순화해서 번역했더니 감수자가 다시 살리라고 하네요. 넷플릭스는 욕 수위 낮추면 안 되는 거예요?,KO-I.20,,67,합성
400069,STYLE_RULE,STYLE_RULE_보이스오버_따옴표_질문,m,인물이 속으로 생각하는 대사가 보이스오버로 나올 때 번역 자막에 따옴표를 쳐야 하나요?,KO-I.14,,48,합성
400070,STYLE_RULE,STYLE_RULE_SDH_의역_질문,m,SDH 작업 중인데 대사가 너무 빨라서요. 읽기 속도 맞추려고 뜻이 같은 짧은 말로 바꿔 써도 되나요?,KO-II.1,,57,합성
400071,STYLE_RULE,STYLE_RULE_SDH_비문법_불만,n,SDH에서 인물이 일부러 틀리게 말한 걸 들리는 대로 적었는데 검수자가 맞춤법 틀렸다고 다 고치래요. 이거 제가 틀린 거예요?,KO-II.1,,70,합성
400072,STYLE_RULE,STYLE_RULE_SDH_효과음하이픈_질문,m,SDH에서 한 사람이 기침하고 바로 말을 이어 가면 효과음이랑 대사 사이에 하이픈 넣어야 해요?,KO-II.5,,53,합성
400073,STYLE_RULE,STYLE_RULE_SDH_외국어단어_질문,m,"한국어 대사 중간에 영어 단어가 섞여 나오면 SDH에서는 [영어] 표시를 붙이나요, 그냥 한글로 적나요?",KO-II.6,,58,합성
400074,STYLE_RULE,STYLE_RULE_SDH_화자표시순서_질문,m,SDH 화자 표시에 속마음이랑 언어를 둘 다 붙여야 하는데 [영어/속마음]이 맞나요 [속마음/영어]가 맞나요?,KO-II.8,,61,합성
400075,STYLE_RULE,STYLE_RULE_SDH_효과음동작_질문,m,SDH 효과음을 [책장을 넘긴다]처럼 동작으로 써도 되나요?,KO-II.9,,33,합성
400076,STYLE_RULE,STYLE_RULE_SDH_분위기음악_질문,m,"가사 없는 음악 깔릴 때 [슬픈 음악], [설레는 음악] 이런 식으로 적으면 되나요?",KO-II.7,,47,합성
400077,STYLE_RULE,STYLE_RULE_자막위치_질문,m,"화면 아래쪽에 인물 이름 자막이 박혀 있는데 번역 자막은 그 위에 겹쳐도 되나요, 위치를 옮겨야 하나요?",GR-5,,58,합성
400078,STYLE_RULE,STYLE_RULE_헌사자막_질문,m,영화 시작할 때 '실화를 바탕으로 했습니다' 같은 문구가 화면에만 나오고 대사는 없어요. 자막 달아야 해요?,GR-7,,60,합성
400079,STYLE_RULE,STYLE_RULE_아웃점여유_질문,m,다음 자막이 바로 안 붙을 때 아웃점을 대사 끝나는 프레임에 딱 맞추면 되나요?,TM-1,,44,합성
400080,STYLE_RULE,STYLE_RULE_자막간격_불만,n,자막 사이 간격을 5프레임 정도로 뒀는데 계속 다시 하래요. 넷플릭스 간격 규정이 정확히 어떻게 돼요?,TM-5;TM-0,,57,합성
400081,STYLE_RULE,STYLE_RULE_전환넘는대사_질문,m,장면 전환 직전에 대사가 시작해서 전환 뒤까지 이어지면 인점을 어디에 둬야 해요?,TM-4,,45,합성
400082,STYLE_RULE,STYLE_RULE_FN페이드타이밍_질문,m,화면 글자가 서서히 나타났다 사라지는데 FN 자막 인점 아웃점은 어느 프레임에 잡아요?,TM-7,,48,합성
400083,STYLE_RULE,STYLE_RULE_프레임레이트_반초_질문,m,타이밍 가이드에 나오는 '반 초'가 30fps 영상에서는 몇 프레임이에요?,TM-0,,41,합성
400084,STYLE_RULE,STYLE_RULE_대사많은콘텐츠_아웃점_질문,m,"대사 많은 토크쇼라 읽기 속도가 계속 넘치는데, 아웃점을 얼마까지 늘려도 되나요?",NR-RS,,45,합성
400085,STYLE_RULE,STYLE_RULE_에피소드제목_불만,n,회차 제목이 화면에도 안 나오고 내레이션도 없는데 PM이 자막에 넣으라고 해서 헷갈려요. 원래 규정은 어떻게 돼요?,NR-TITLE;KO-I.18,,64,합성
400086,STYLE_RULE,STYLE_RULE_템플릿주석_질문,m,"영어 템플릿 만들 때 주석은 필요할 때만 다는 건가요, 아니면 무조건 달아야 해요?",NR-TPL-2,,46,합성
400087,STYLE_RULE,STYLE_RULE_예고편자막위치_불만,n,예고편 아래쪽에 큰 로고 글자가 계속 떠 있어서 자막을 위로 올렸는데 반려됐어요. 예고편은 위에 두면 안 되나요?,NR-MKT-2,,63,합성
400088,STYLE_RULE,STYLE_RULE_유명인현지화_질문,m,"대사에 미국 코미디언 이름이 농담으로 나오는데, 한국 시청자가 알기 쉽게 한국 개그맨 이름으로 바꿔도 돼요?",NR-LBP-1,,60,합성
400089,STYLE_RULE,STYLE_RULE_FN사용범위_질문,m,수화로 대화하는 장면이 있는데 이런 것도 FN 자막으로 처리하는 거예요?,NR-FN,,40,합성
400090,STYLE_RULE,STYLE_RULE_가이드개정여부_질문,m,작년 12월에 넷플릭스 스타일 가이드 개정됐다던데 한국어 쪽도 바뀐 게 있나요?,NR-UPD;KO-I.20,,44,합성
400091,FEEDBACK,FEEDBACK_ASS형식지원_요청,m,ASS 자막 파일도 검사할 수 있게 해 주시면 좋겠어요. 애니 작업은 ass로 오는 경우가 많거든요,F-01;F-02,,55,합성
400092,FEEDBACK,FEEDBACK_일본어프로파일_요청,m,넷플릭스 일본어 번역 자막 규정 프로파일도 추가해 주세요,F-01;F-02,,31,합성
400093,FEEDBACK,FEEDBACK_맥OS버전_요청,m,맥에서 작업하는데 exe라 못 써요. macOS용도 만들어 주실 수 있나요?,F-01;F-02,,42,합성
400094,FEEDBACK,FEEDBACK_단계되돌리기_요청,m,화면 앱에서 단계 하나 돌린 다음에 결과가 마음에 안 들면 바로 그 전 상태로 되돌리는 버튼이 있으면 좋겠어요,F-01;F-02,,61,합성
400095,FEEDBACK,FEEDBACK_리포트엑셀_요청,m,검사 리포트를 엑셀 파일로 뽑을 수 있게 해 주세요. 감수자한테 표로 넘겨야 해서요,F-01;F-02,,46,합성
400096,FEEDBACK,FEEDBACK_KNP시트대조_요청,m,KNP 엑셀 시트를 불러와서 자막에 용어 표기가 시트랑 다르게 쓰인 곳을 표시해 주는 기능 건의합니다,F-01;F-02,,56,합성
400097,FEEDBACK,FEEDBACK_전사진행률_요청,m,[자막 만들기] 돌릴 때 몇 퍼센트 됐는지 진행률 좀 보여 주세요. 끝날 때까지 멈춘 건지 도는 건지 모르겠어요,F-01;F-02,,62,합성
400098,FEEDBACK,FEEDBACK_읽기속도색표시_요청,m,자막 표에서 읽기 속도 넘는 줄은 빨간색으로 칠해 주면 한눈에 보일 것 같아요,F-01;F-02,,43,합성
400099,FEEDBACK,FEEDBACK_번역모델선택_요청,m,번역 단계에서 Ollama 모델을 화면 앱 안에서 골라 쓸 수 있게 해 주세요,F-01;F-02,,43,합성
400100,FEEDBACK,FEEDBACK_TTML내보내기_요청,m,검사하고 고친 결과를 srt 말고 TTML(dfxp)로 바로 저장하는 옵션 있나요? 없으면 추가 부탁드려요,F-05;U-04;U-06,,59,합성
400101,FEEDBACK,FEEDBACK_검사항목끄기_요청,m,특정 검사 항목 하나만 빼고 돌리는 옵션이 있을까요? 없으면 만들어 주세요. 이번 작업에선 필요 없는 항목이 계속 떠서요,F-05;U-04;U-05,,67,합성
400102,FEEDBACK,FEEDBACK_프레임레이트지정_요청,m,타임코드 수렴 쓸 때 23.976이나 25fps처럼 프레임레이트를 직접 지정하는 방법 있어요? 없다면 건의할게요,F-05;U-07,,62,합성
400103,FEEDBACK,FEEDBACK_폴더일괄생성_요청,m,회차 영상 10개를 폴더째로 넣고 [자막 만들기]를 순서대로 돌리는 기능 있나요? 없으면 넣어 주세요,F-05;U-08,,56,합성
400104,FEEDBACK,FEEDBACK_버전비교_요청,m,2차 감수본이랑 3차 윤문본을 줄 단위로 나란히 비교해서 보여 주는 기능 있어요? 없으면 요청합니다,F-05;U-12,,55,합성
400105,FEEDBACK,FEEDBACK_한글경로실행오류_불만,n,exe를 '내 작업 폴더' 안에 두면 실행하자마자 꺼져요. 경로에 한글이나 공백 있으면 안 되는 건가요? 진짜 답답하네요,F-01;F-03,,67,합성
400106,FEEDBACK,FEEDBACK_종료코드_불만,n,위반이 잔뜩 나왔는데 종료 코드가 0으로 떨어져서 배치 스크립트가 통과로 넘어가 버렸어요. 문서엔 위반 있으면 1이라며요,F-01;F-03;U-04,,67,합성
400107,FEEDBACK,FEEDBACK_진단메뉴멈춤_불만,n,[도움말 → 진단] 누르면 응답 없음 뜨고 창이 하얗게 멈춰요. 설치 문제 보려고 누른 건데 이게 멈추면 어떡해요,F-01;F-03;U-03,,63,합성
400108,FEEDBACK,FEEDBACK_work폴더끄기_요청,m,중간 결과 work 폴더를 안 만드는 설정을 넣어 주세요. 회차마다 쌓여서 용량이 계속 늘어요,F-01;F-03;U-12,,52,합성
400109,FEEDBACK,FEEDBACK_감수회차_요청,m,번역 감수 회차를 5로 줬는데 두 번 만에 멈춰요. 설정이 안 먹는 것 같아요,F-01;F-03;U-10,,43,합성
400110,FEEDBACK,FEEDBACK_캡션확인표시_요청,m,화면 캡션으로 얹힌 것 중 몇 개는 갈색 표시 없이 그냥 들어가 있어요,F-01;F-03;U-09,,39,합성
400111,FEEDBACK,FEEDBACK_말줄임표변환_요청,m,자막 QA 돌리고 나니까 원래 한 글자로 쓴 말줄임표가 점 세 개로 바뀌어 나와요,F-01;F-03,,45,합성
400112,FEEDBACK,FEEDBACK_하이픈공백오탐_요청,m,번역 자막 2인 화자 줄을 '- 대사'처럼 하이픈 뒤에 한 칸 띄웠는데 이걸 위반으로 잡아요. 가이드대로 쓴 건데요,F-01;F-02,,64,합성
400113,FEEDBACK,FEEDBACK_가사물음표오탐_불만,n,노래 가사 줄 끝에 물음표 쓴 것까지 전부 문장부호 위반으로 잡아서 리포트가 난리예요. 가사는 물음표 되는 거 아닌가요,F-01;F-02,,66,합성
400114,FEEDBACK,FEEDBACK_간격미탐_요청,m,24fps 파일인데 자막 사이 6프레임짜리 간격이 여러 군데 있는데도 검사에서 하나도 안 잡혀요,F-01;F-02,,53,합성
400115,FEEDBACK,FEEDBACK_말줄임표글자수오탐_요청,m,한 글자짜리 … 를 글자 수에서 세 글자로 세는 것 같아요. 딱 16자 맞춘 줄이 초과로 나와요,F-01;F-02,,53,합성
400116,FEEDBACK,FEEDBACK_언어표시오탐_요청,m,SDH에 [일어로 말한다]라고 제대로 적었는데 외국어 표시 위반으로 잡혀요,F-01;F-02,,41,합성
400117,FEEDBACK,FEEDBACK_플러그인단추없음_요청,m,안내에는 [③ 자막 검사 + 교정] 단추가 있다는데 제 플러그인 창에는 그 단추가 없어요. 문서와 다른 것 같아요,F-01;U-06,,63,합성
400118,FEEDBACK,FEEDBACK_화면자막표식필수_요청,m,화면 캡션 읽기를 켤 때 화면자막 표식이 필수라고 적혀 있던데 안 정해도 그냥 돌아가요. 문서가 틀린 건지 동작이 틀린 건지요,F-01;U-09,,70,합성
400119,FEEDBACK,FEEDBACK_kiwipiepy없을때멈춤_불만,n,"kiwipiepy 없으면 한국어 교정만 건너뛴다고 문서에 써 있는데, 실제로는 규정 검사까지 통째로 멈춰 버려요",F-01;F-03;U-11,,62,합성
400120,FEEDBACK,FEEDBACK_발주처경고안뜸_요청,m,발주처를 안 고르면 경고가 뜬다고 안내에 있는데 아무 경고 없이 그냥 넷플릭스 기준으로 검사돼요,F-01;U-04,,53,합성
400121,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,m,'로서'랑 '로써' 자막 쓸 때마다 헷갈려요. 어느 경우에 뭘 쓰는 거예요?,R-01,refer_to_nikl,42,합성
400122,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,m,대사에 '금새'라고 썼더니 감수에서 표시가 왔어요. '금세'만 표준어인가요?,R-01,refer_to_nikl,42,합성
400123,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,m,"'할 수밖에 없다'에서 '밖에'는 붙여 써요, 띄어 써요?",R-01,refer_to_nikl,32,합성
400124,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,m,'리더십'이랑 '리더쉽' 외래어 표기법으로는 어느 쪽이 맞아요?,R-01,refer_to_nikl,35,합성
400125,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,m,'짜장면'도 이제 표준어라던데 자막에 써도 규범상 문제없는 거죠?,R-01,refer_to_nikl,36,합성
400126,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,m,"누가 한 말 전할 때 '걔 다음 달에 결혼한대'가 맞아요, '결혼한데'가 맞아요?",R-01,refer_to_nikl,45,합성
400127,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,m,"'고객님, 주문하신 음료 나오셨습니다'처럼 사물에 '-시-' 붙이는 거 문법적으로 틀린 표현 맞죠?",R-01,refer_to_nikl,55,합성
400128,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,m,'등굣길'이랑 '등교길' 중에 사이시옷 규정상 뭐가 맞나요?,R-01,refer_to_nikl,33,합성
400129,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,m,'가는 데'랑 '가는데' 띄어쓰기 기준을 모르겠어요 ㅠㅠ 문장마다 달라 보여서요,R-01,refer_to_nikl,44,합성
400130,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,n,맞춤법 검사기마다 '웬일'이랑 '왠일' 결과가 다르게 나와서 짜증나요. 도대체 뭐가 표준이에요?,R-01,refer_to_nikl,53,합성
400131,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,m,'어떡해'랑 '어떻게 해' 차이가 뭐예요?,R-01,refer_to_nikl,23,합성
400132,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,m,'-으므로'랑 '-음으로'는 문법적으로 어떻게 구분해서 써요?,R-01,refer_to_nikl,34,합성
400133,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,m,할아버지 앞에서 아버지 얘기할 때 '아버지가 오셨어요'랑 '아버지가 왔어요' 중에 어법상 뭐가 맞아요? 압존법 요즘도 지켜야 하나요?,R-01,refer_to_nikl,74,합성
400134,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,n,'합격율'인지 '합격률'인지 또 틀려서 반려 먹었네요. '율'이랑 '률' 가르는 규칙 좀 알려 주세요,R-01,refer_to_nikl,56,합성
400135,OUT_OF_SCOPE,OUT_OF_SCOPE_어문규범_질문,m,'카페'를 '까페'로 적으면 안 되는 이유가 외래어 표기법에 있는 거예요? 된소리 표기 규칙이 궁금해요,R-01,refer_to_nikl,57,합성
