qa_id,hard_type,route_expected,route_alt,expected_action,question,expected_behavior,sentiment,ref,provenance,note
500011,경계모호,USAGE,STYLE_RULE,CLARIFY,SRT 말고 TTML로 납품하라는데 어떻게 맞춰요?,결과 파일 형식 사용법인지 넷플릭스 TTML 기술 사양 규정인지 갈리므로 되묻는다.,m,GR-13,합성,저작 시 유형 지정
500012,경계모호,USAGE,QC_EXPLAIN,ANSWER,리포트에 [확인]이라고 붙은 줄은 제가 뭘 해야 하는 거예요?,리포트 형식([확인] 표시) 질문이라 USAGE(U-05)(검토 반영),m,U-05;Q-00,합성,저작 시 유형 지정
500013,극단단답,STYLE_RULE,QC_EXPLAIN,CLARIFY,몇 자요?,"번역/SDH, 줄당 글자 수/읽기 속도 중 무엇인지 알 수 없어 되묻는다.",m,,합성,저작 시 유형 지정
500014,극단단답,FEEDBACK,USAGE,CLARIFY,안 돼요,무엇이 어떻게 안 되는지 알 수 없어 되묻는다.,n,,합성,저작 시 유형 지정
500015,극단단답,QC_EXPLAIN,STYLE_RULE,ANSWER,SDH 읽기 속도 초과?,경고 이름만 짧게 왔다. SDH 읽기 속도 초과 항목을 설명한다. 번호 대신 내용으로 바꾸며 '경고'라는 말이 빠져 규정 질문(STYLE_RULE)으로도 읽혀 대안 카테고리로 둔다(검토 반영 — 게이트는 카테고리 확신도만 본다),m,,합성,저작 시 유형 지정
500016,극단단답,STYLE_RULE,USAGE,CLARIFY,SDH는요?,무엇에 대한 SDH 질문인지 대상이 없어 되묻는다.,m,,합성,저작 시 유형 지정
500017,극단단답,FEEDBACK,USAGE,CLARIFY,오류,어떤 실행에서 어떤 오류가 났는지 알 수 없어 되묻는다.,n,,합성,저작 시 유형 지정
500018,극단단답,USAGE,,ANSWER,자막 QA?,단추 이름만 왔지만 카테고리는 하나로 정해진다. [③ 자막 QA]가 하는 일을 설명한다(검토 반영),m,,합성,저작 시 유형 지정
500019,극단단답,STYLE_RULE,QC_EXPLAIN,CLARIFY,간격,자막 사이 간격 규정인지 간격 검사 결과인지 알 수 없어 되묻는다.,m,,합성,저작 시 유형 지정
500020,극단단답,STYLE_RULE,QC_EXPLAIN,CLARIFY,음표,SDH 음표 표기 규정인지 음표 관련 검사 결과인지 알 수 없어 되묻는다.,m,,합성,저작 시 유형 지정
500021,극단단답,OUT_OF_SCOPE,USAGE,CLARIFY,디즈니,발주처 이름만 있어 규정 수치 질문인지 -p disney 사용법인지 알 수 없어 되묻는다.,m,,합성,저작 시 유형 지정
500022,극단단답,USAGE,,ANSWER,미구현 검사 뜻?,짧지만 리포트 형식 질문 하나로 정해지므로 통과가 아니라는 뜻을 사용법 근거로 답한다.,m,U-05,합성,저작 시 유형 지정
500023,극단단답,USAGE,,ANSWER,타임코드 고정 뭐예요,짧지만 체크 하나의 뜻을 묻는 질문으로 정해지므로 받은 타임코드를 옮기지 않는 설정이라고 답한다.,m,U-07,합성,저작 시 유형 지정
500024,극단단답,QC_EXPLAIN,,ANSWER,줄 끝 마침표 경고 뭐예요?,짧지만 특정 검사 항목의 뜻을 묻는 것으로 정해지므로 줄 끝 마침표·쉼표 검사를 설명한다.,m,Q-09,합성,저작 시 유형 지정
500025,다중의도,USAGE,STYLE_RULE,ANSWER,SDH 검사 명령은 어떻게 쳐요? 그리고 효과음은 대괄호로 쓰는 거 맞죠?,검사 명령 사용법과 SDH 효과음 표기 규정 두 가지를 각각 근거로 답한다.,m,U-04;KO-II.9,합성,저작 시 유형 지정
500026,다중의도,QC_EXPLAIN,FEEDBACK,ANSWER,한 줄 글자 수 초과가 떴는데 기준이 뭐예요? 영문 약어 섞인 줄까지 빡빡하게 잡는 건 좀 풀어 주셨으면 해요,한 줄 글자 수 초과 항목 설명에 답하고 영문 약어 판정 완화 건의는 접수한다.,m,Q-07;F-01,합성,저작 시 유형 지정
500027,다중의도,STYLE_RULE,OUT_OF_SCOPE,ANSWER,"줄 끝에 쉼표 찍어도 되는지랑, '어떡해'랑 '어떻해' 중 뭐가 맞는지 알려 주세요",줄 끝 쉼표는 가이드 조항으로 답하고 맞춤법 질문은 판정하지 않고 국립국어원을 안내한다.,m,KO-I.13;R-01,합성,저작 시 유형 지정
500028,다중의도,USAGE,OUT_OF_SCOPE,ANSWER,"1차 번역 돌리는 법 알려 주시고, 쿠팡플레이 번역 자막 줄당 글자 수 기준도 알려 주세요",1차 번역 단추 사용법은 답하고 쿠팡플레이 규정 수치는 공개 근거가 없어 발주처 가이드 확인을 안내한다.,m,U-10;R-04,합성,저작 시 유형 지정
500029,다중의도,FEEDBACK,USAGE,ANSWER,화면 앱이 영상 열 때마다 멈춰요. 그리고 진단 메뉴는 어디 있어요?,멈춤 버그는 접수하고 [도움말 → 진단] 위치는 사용법 근거로 답한다.,n,F-03;U-03,합성,저작 시 유형 지정
500030,다중의도,QC_EXPLAIN,STYLE_RULE,ANSWER,"음표 짝 경고가 무슨 뜻인지 알려 주시고, 번역 자막에서는 노래 가사에 따옴표 쓰는지도 알려 주세요",음표 짝 검사 설명과 번역 자막 노래 표기 규정을 각각 답한다.,m,Q-29;KO-I.17,합성,저작 시 유형 지정
500031,다중의도,USAGE,FEEDBACK,ANSWER,화면 캡션 읽은 결과는 어디서 봐요? 그리고 그 목록을 엑셀 파일로도 뽑아 주면 좋겠어요,화면 캡션 읽기 결과 보는 법을 근거 범위 안에서 답하고 엑셀 내보내기는 건의로 접수한다.,m,U-09;F-01,합성,저작 시 유형 지정
500032,다중의도,STYLE_RULE,USAGE,ANSWER,SDH 화자 표시는 어떤 형식으로 써요? 그리고 그걸 검사하려면 -k sdh만 주면 되나요?,SDH 화자 표시 규정과 검사 옵션 사용법을 각각 답한다.,m,KO-II.8;U-04,합성,저작 시 유형 지정
500033,다중의도,OUT_OF_SCOPE,STYLE_RULE,ANSWER,"번역료 협상 팁 있으면 알려 주시고요, 넷플릭스 번역자 크레디트 넣는 규정도 궁금해요",작업료는 범위 밖이라고 밝히고 번역자 크레디트는 규정 근거로 답한다.,m,R-04;GR-12,합성,저작 시 유형 지정
500034,다중의도,QC_EXPLAIN,USAGE,ANSWER,"자막 사이 간격 짧다는 게 무슨 뜻인지랑, 이거 타임코드 수렴으로 한 번에 맞출 수 있는지 알려 주세요",자막 사이 간격 항목 설명과 타임코드 수렴 설정을 각각 답한다.,m,Q-05;U-07,합성,저작 시 유형 지정
500035,다중의도,FEEDBACK,QC_EXPLAIN,ANSWER,말더듬 검사가 멀쩡한 대사까지 잡는 것 같아요. 원래 말더듬 검사는 뭘 잡는 거예요?,오탐 제보는 자막 형태만 받아 접수하고 말더듬 표시 검사가 잡는 대상을 검사 설명 근거로 답한다.,n,F-01;Q-27,합성,저작 시 유형 지정
500036,다중의도,USAGE,STYLE_RULE,ANSWER,"다큐 작업용 기준을 새로 만드는 법이랑, 넷플릭스는 다큐 인터뷰 자막을 어떻게 처리하라고 하는지 알려 주세요",작업 기준 창에서 새 발주처 기준 만드는 법과 다큐멘터리·비대본 콘텐츠 규정을 각각 답한다.,m,U-15;KO-I.5;NR-LBP-2,합성,저작 시 유형 지정
500037,분류체계밖,OUT_OF_SCOPE,,ANSWER,엑셀에서 VLOOKUP 함수 쓰는 법 알려 주세요,생성기와 무관한 프로그램 사용법이므로 범위 밖이라고 정중히 안내한다.,m,R-04,합성,저작 시 유형 지정
500038,분류체계밖,OUT_OF_SCOPE,,ANSWER,오늘 점심 뭐 먹을지 추천해 주세요,자막 작업과 무관한 잡담이므로 이 창구에서 다루지 않는다고 정중히 안내한다.,m,,합성,저작 시 유형 지정
500039,분류체계밖,OUT_OF_SCOPE,,ANSWER,프리미어 프로에서 자막 트랙 불러오는 법이 궁금해요,다른 편집 프로그램 사용법은 범위 밖이므로 정중히 안내한다.,m,R-04,합성,저작 시 유형 지정
500040,분류체계밖,OUT_OF_SCOPE,,ANSWER,넷플릭스 시청 계정 비밀번호는 어디서 바꿔요?,스트리밍 서비스 계정 문의는 생성기와 무관하므로 범위 밖으로 안내한다.,m,,합성,저작 시 유형 지정
500041,분류체계밖,OUT_OF_SCOPE,,ANSWER,에이전시에서 지난달 작업비가 아직 안 들어왔어요. 언제 정산돼요?,정산·작업료 문의는 범위 밖이므로 이 창구에서 답할 수 없다고 안내한다.,m,R-04,합성,저작 시 유형 지정
500042,분류체계밖,OUT_OF_SCOPE,,ANSWER,심심한데 재밌는 농담 하나 해 주세요,업무와 무관한 잡담이므로 이 창구의 범위를 정중히 안내한다.,m,,합성,저작 시 유형 지정
500043,분류체계밖,OUT_OF_SCOPE,,ANSWER,유튜브에서 자동 생성 자막 끄는 방법 알려 주세요,다른 서비스 사용법은 범위 밖이므로 정중히 안내한다.,m,R-04,합성,저작 시 유형 지정
500044,분류체계밖,OUT_OF_SCOPE,,ANSWER,프리랜서 번역가 종합소득세 신고는 어떻게 해요?,세무 문의는 자막 생성기와 무관하므로 범위 밖으로 안내한다.,m,,합성,저작 시 유형 지정
500045,분류체계밖,OUT_OF_SCOPE,,ANSWER,일본어 번역 공부하려는데 교재 추천해 주세요,학습 자료 추천은 이 창구의 근거 문서로 답할 수 없어 범위 밖으로 안내한다.,m,,합성,저작 시 유형 지정
500046,경계모호,OUT_OF_SCOPE,,ANSWER,티빙 오리지널 한국어 자막은 줄당 몇 자까지예요?,넷플릭스 외 발주처 규정은 공개 근거가 없으므로 발주처 가이드 확인을 안내한다. (검토 반영: R-04에 명시된 범위 밖 경계 사례라 경계모호로 옮김),m,R-04,합성,저작 시 유형 지정
500047,분류체계밖,OUT_OF_SCOPE,,ANSWER,게임도 할 건데 그래픽카드 뭐 사는 게 좋아요?,하드웨어 구매 상담은 범위 밖이므로 정중히 안내한다.,m,,합성,저작 시 유형 지정
500048,분류체계밖,OUT_OF_SCOPE,,ANSWER,번역가 이력서 자기소개 부분 첨삭해 주실 수 있어요?,이력서 첨삭은 자막 생성기와 무관하므로 범위 밖으로 안내한다.,m,,합성,저작 시 유형 지정
500049,텍스트손상,USAGE,,ANSWER,타임코드고정하면자막나누기도막히나요,띄어쓰기가 없어도 받은 TC에 번역만 할 때 자막을 나누는지 묻는 것이 분명하므로 사용법으로 답한다.,m,U-07,합성,저작 시 유형 지정
500050,텍스트손상,QC_EXPLAIN,,ANSWER,sdh 읽기속도초과 기쥰이 머에요,오타가 있어도 SDH 읽기 속도 초과 항목의 기준을 묻는 것이 분명하므로 검사 설명으로 답한다.,m,Q-24,합성,저작 시 유형 지정
500051,텍스트손상,STYLE_RULE,,ANSWER,말줄임표 ...  그냥 써도됌?,어미가 깨졌어도 점 세 개 말줄임표 사용 가능 여부를 묻는 규정 질문이므로 조항으로 답한다.,m,KO-I.4,합성,저작 시 유형 지정
500052,텍스트손상,USAGE,,ANSWER,자막 QA 하면 원본 덮어쓰기 되나여ㅛ,끝 글자가 깨졌어도 자동 교정이 원본을 덮어쓰는지 묻는 것이므로 화면에만 반영되고 저장은 새 이름으로 한다고 답한다.,m,U-06;U-03,합성,저작 시 유형 지정
500053,텍스트손상,STYLE_RULE,,ANSWER,ㄴㅇㅗ 효과음 끝에 소리 붙이면 안되나요,ㄴㅇㅗ는 한글 자판 상태로 친 SDH이므로 SDH 효과음 표기 규정으로 답한다.,m,KO-II.9,합성,저작 시 유형 지정
500054,텍스트손상,USAGE,,ANSWER,gksrnrdj 교정 기능 쓰려면 뭐 필요해요,gksrnrdj는 영문 자판 상태로 친 '한국어'이므로 [② 한국어 교정] 준비물을 사용법으로 답한다.,m,U-11,합성,저작 시 유형 지정
500055,텍스트손상,QC_EXPLAIN,,ANSWER,줄바꿈위치 경고 뜻이모에요,오타·띄어쓰기 누락이 있어도 줄바꿈 위치 항목의 뜻을 묻는 것이므로 검사 설명으로 답한다.,m,Q-19,합성,저작 시 유형 지정
500056,텍스트손상,FEEDBACK,,ANSWER,ass자막도 검사되게 해주새요,오타가 있어도 ASS 형식 지원 기능 건의이므로 접수한다.,m,F-01,합성,저작 시 유형 지정
500057,텍스트손상,FEEDBACK,,ANSWER,도움말 진단 메뉴가 안열려욬ㅋ 눌러도 반응업음,자판 실수가 섞였어도 진단 메뉴가 동작하지 않는다는 버그 제보이므로 접수한다.,n,F-03,합성,저작 시 유형 지정
500058,텍스트손상,OUT_OF_SCOPE,,ANSWER,금새 금세 어느게 맞춤뻡이에요,오타가 있어도 맞춤법 질문이므로 판정하지 않고 국립국어원을 안내한다.,m,R-01;R-02,합성,저작 시 유형 지정
500059,텍스트손상,STYLE_RULE,,ANSWER,2인화자 하이픈뒤에 띄어쓰기 하나여 안하나여,어미가 깨졌어도 2인 화자 하이픈 표기 형식을 묻는 규정 질문이므로 조항으로 답한다.,m,KO-I.6,합성,저작 시 유형 지정
500060,텍스트손상,QC_EXPLAIN,,ANSWER,화면글자랑 위치충돌 이게뭐임,띄어쓰기 누락이 있어도 화면 글자와 위치 충돌 항목의 뜻을 묻는 것이므로 검사 설명으로 답한다.,m,Q-06,합성,저작 시 유형 지정
500061,문맥의존,USAGE,STYLE_RULE,CLARIFY,그럼 그 옵션은 SDH에도 써요?,'그 옵션'이 가리키는 앞 대화가 없어 어떤 옵션인지 알 수 없으므로 되묻는다.,m,,합성,저작 시 유형 지정
500062,문맥의존,STYLE_RULE,QC_EXPLAIN,CLARIFY,아까 말한 거 SDH도 같아요?,'아까 말한 것'에 해당하는 앞 대화가 없어 무엇을 비교하는지 알 수 없으므로 되묻는다.,m,,합성,저작 시 유형 지정
500063,문맥의존,OUT_OF_SCOPE,,CLARIFY,그거 말고 다른 방법은요?,가리키는 대상이 없어 카테고리를 추정할 수 없으므로 되묻는다.,m,,합성,저작 시 유형 지정
500064,문맥의존,OUT_OF_SCOPE,,CLARIFY,방금 알려 주신 번호 다시 한 번만 말해 주세요,앞선 답변이 없어 어떤 번호인지 알 수 없으므로 지어내지 않고 되묻는다.,m,,합성,저작 시 유형 지정
500065,문맥의존,QC_EXPLAIN,USAGE,CLARIFY,그 경고는 무시해도 돼요?,어떤 경고인지 앞 대화에 없어 항목을 특정할 수 없으므로 되묻는다.,m,,합성,저작 시 유형 지정
500066,문맥의존,FEEDBACK,USAGE,CLARIFY,위에서 말한 대로 했는데 여전히 안 돼요,무엇을 했고 무엇이 안 되는지 앞 대화가 없어 알 수 없으므로 되묻는다.,n,,합성,저작 시 유형 지정
500067,문맥의존,QC_EXPLAIN,USAGE,CLARIFY,두 번째 거는 자동으로 고쳐져요?,'두 번째 것'이 가리키는 목록이 없어 항목을 특정할 수 없으므로 되묻는다.,m,,합성,저작 시 유형 지정
500068,문맥의존,STYLE_RULE,QC_EXPLAIN,CLARIFY,그럼 번역 쪽은 기준이 어떻게 돼요?,무엇의 기준인지 앞 대화에 없어 규정 항목을 특정할 수 없으므로 되묻는다.,m,,합성,저작 시 유형 지정
500069,문맥의존,OUT_OF_SCOPE,,ANSWER,아까 그 파일로 다시 한번 돌려 봐 주세요,어떤 파일이든 이 창구는 프로그램을 대신 실행할 수 없다. 범위 밖 안내(검토 반영),m,,합성,저작 시 유형 지정
500070,문맥의존,FEEDBACK,USAGE,ANSWER,그 기능은 언제쯤 추가돼요?,어떤 기능이든 반영 시점은 약속하지 않는다(F-02)고 답할 수 있다(검토 반영),m,,합성,저작 시 유형 지정
500071,문맥의존,OUT_OF_SCOPE,,CLARIFY,마지막에 말씀하신 사이트 주소가 뭐였죠?,앞선 답변이 없어 어느 사이트인지 알 수 없으므로 지어내지 않고 되묻는다.,m,,합성,저작 시 유형 지정
500072,문맥의존,OUT_OF_SCOPE,,CLARIFY,이전 답변이랑 다른데 어느 쪽이 맞아요?,비교할 이전 답변이 없어 무엇을 판단할지 알 수 없으므로 되묻는다.,m,,합성,저작 시 유형 지정
